question,A,B,C,D,E,Unnamed: 6,RIGHT ANSWER,QESTION NUMBER,Explication
You are building a data lake on Google Cloud for your Internet of Things (IoT) application. The IoT application has millions of sensors that are constantly streaming structured and unstructured data to your backend in the cloud. You want to build a highly available and resilient architecture based on Google-recommended practices. What should you do?,"Stream data to Pub/Sub, and use Dataflow to send data to Cloud Storage.","Stream data to Pub/Sub, and use Storage Transfer Service to send data to BigQuery.","Stream data to Dataflow, and use Dataprep by Trifacta to send data to Bigtable.","Stream data to Dataflow, and use Storage Transfer Service to send data to BigQuery.",,,A,213,"A. Streaming data to Pub/Sub allows you to decouple the ingestion of data from the processing and storage, providing a scalable and reliable message queue that can handle the high volume of data coming from millions of sensors. Using Dataflow to consume data from Pub/Sub and send it to Cloud Storage allows for real-time data processing and storage. Dataflow is a fully managed service for processing data in real-time or batch mode, making it an ideal choice for handling the constant stream of data from IoT sensors. Storing data in Cloud Storage offers high durability and availability, providing a robust foundation for building a data lake. Cloud Storage is a scalable object storage service that can handle large volumes of structured and unstructured data, making it well-suited for the IoT application's data requirements."
You are troubleshooting your Dataflow pipeline that processes data from Cloud Storage to BigQuery. You have discovered that the Dataflow worker nodes cannot communicate with one another. Your networking team relies on Google Cloud network tags to define firewall rules. You need to identify the issue while following Google-recommended networking security practices. What should you do?,Determine whether your Dataflow pipeline has a custom network tag set.,Determine whether there is a firewall rule set to allow traffic on TCP ports 12345 and 12346 for the Dataflow network tag.,Determine whether there is a firewall rule set to allow traffic on TCP ports 12345 and 12346 on the subnet used by Dataflow workers.,Determine whether your Dataflow pipeline is deployed with the external IP address option enabled.,,,B,212,"The best approach would be to check if there is a firewall rule allowing traffic on TCP ports 12345 and 12346 for the Dataflow network tag. Dataflow uses TCP ports 12345 and 12346 for communication between worker nodes. Using network tags and associated firewall rules is a Google-recommended security practice for controlling access between Compute Engine instances like Dataflow workers. So the key things to check would be: 1. Ensure your Dataflow pipeline is using the Dataflow network tag on the worker nodes. This tag is applied by default unless overridden. 2. Check if there is a firewall rule allowing TCP 12345 and 12346 ingress and egress traffic for instances with the Dataflow network tag. If not, add the rule. Options A, C and D relate to other networking aspects but do not directly address the Google recommended practice of using network tags and firewall rules."
"You are using BigQuery with a multi-region dataset that includes a table with the daily sales volumes. This table is updated multiple times per day. You need to protect your sales table in case of regional failures with a recovery point objective (RPO) of less than 24 hours, while keeping costs to a minimum. What should you do?",Schedule a daily export of the table to a Cloud Storage dual or multi-region bucket.,Schedule a daily copy of the dataset to a backup region.,Schedule a daily BigQuery snapshot of the table.,Modify ETL job to load the data into both the current and another backup region.,,,A,211,"Based on the information provided and the need to avoid data loss in the case of a hard regional failure in BigQuery, which could result in the destruction of all data in that region, the focus should be on creating backups in a geographically distinct region. Considering this scenario, the most suitable option would be Option A"
"You are designing a data mesh on Google Cloud with multiple distinct data engineering teams building data products. The typical data curation design pattern consists of landing files in Cloud Storage, transforming raw data in Cloud Storage and BigQuery datasets, and storing the final curated data product in BigQuery datasets. You need to configure Dataplex to ensure that each team can access only the assets needed to build their data products. You also need to ensure that teams can easily share the curated data product. What should you do?","1. Create a single Dataplex virtual lake and create a single zone to contain landing, raw, and curated data.
2. Provide each data engineering team access to the virtual lake.","1. Create a single Dataplex virtual lake and create a single zone to contain landing, raw, and curated data.
2. Build separate assets for each data product within the zone.
3. Assign permissions to the data engineering teams at the zone level.","1. Create a Dataplex virtual lake for each data product, and create a single zone to contain landing, raw, and curated data.
2. Provide the data engineering teams with full access to the virtual lake assigned to their data product.","1. Create a Dataplex virtual lake for each data product, and create multiple zones for landing, raw, and curated data.
2. Provide the data engineering teams with full access to the virtual lake assigned to their data product.",,,D,210,"The best approach is to create a Dataplex virtual lake for each data product, with multiple zones for landing, raw, and curated data. Then provide the data engineering teams with access only to the zones they need within the virtual lake assigned to their product. To enable teams to easily share curated data products, you should use cross-lake sharing in Dataplex. This allows curated zones to be shared across virtual lakes while maintaining data isolation for other zones."
"A shipping company has live package-tracking data that is sent to an Apache Kafka stream in real time. This is then loaded into BigQuery. Analysts in your company want to query the tracking data in BigQuery to analyze geospatial trends in the lifecycle of a package. The table was originally created with ingest-date partitioning. Over time, the query processing time has increased. You need to copy all the data to a new clustered table. What should you do?",Re-create the table using data partitioning on the package delivery date.,Implement clustering in BigQuery on the package-tracking ID column.,Implement clustering in BigQuery on the ingest date column.,Tier older data onto Cloud Storage files and create a BigQuery table using Cloud Storage as an external data source.,,,B,209,Implement clustering in BigQuery on the package-tracking ID column.
"A live TV show asks viewers to cast votes using their mobile phones. The event generates a large volume of data during a 3-minute period. You are in charge of the ""Voting infrastructure"" and must ensure that the platform can handle the load and that all votes are processed. You must display partial results while voting is open. After voting closes, you need to count the votes exactly once while optimizing cost. What should you do?",Create a Memorystore instance with a high availability (HA) configuration.,Create a Cloud SQL for PostgreSQL database with high availability (HA) configuration and multiple read replicas.,Write votes to a Pub/Sub topic and have Cloud Functions subscribe to it and write votes to BigQuery.,Write votes to a Pub/Sub topic and load into both Bigtable and BigQuery via a Dataflow pipeline. Query Bigtable for real-time results and BigQuery for later analysis. Shut down the Bigtable instance when voting concludes.,,,D,208,Write votes to a Pub/Sub topic and load into both Bigtable and BigQuery via a Dataflow pipeline. Query Bigtable for real-time results and BigQuery for later analysis. Shut down the Bigtable instance when voting concludes.
"Your DevOps team uses Packer to build Compute Engine images by using this process:

1. Create an ephemeral Compute Engine VM.
2. Copy a binary from a Cloud Storage bucket to the VM's file system.
3. Update the VM's package manager.
4. Install external packages from the internet onto the VM.

Your security team just enabled the organizational policy, constraints/ compute.vmExternalIpAccess, to restrict the usage of public IP Addresses on VMs. In response, your DevOps team updated their scripts to remove public IP addresses on the Compute Engine VMs; however, the build pipeline is failing due to connectivity issues.

What should you do? (Choose two.)",Provision an HTTP load balancer with the VM in an unmanaged instance group to allow inbound connections from the internet to your VM.,Provision a Cloud NAT instance in the same VPC and region as the Compute Engine VM.,Enable Private Google Access on the subnet that the Compute Engine VM is deployed within.,Update the VPC routes to allow traffic to and from the internet.,Provision a Cloud VPN tunnel in the same VPC and region as the Compute Engine VM.,,"B,C",207,"Provision a Cloud NAT instance (Option B): Cloud NAT allows your Compute Engine instances without public IP addresses to access the internet while preserving the security restrictions imposed by your organizational policy. By provisioning a Cloud NAT instance in the same VPC and region as your Compute Engine VMs, you enable outbound connectivity for these VMs. Enable Private Google Access (Option C): Enabling Private Google Access on the subnet where your Compute Engine VMs are deployed allows these instances to access Google Cloud services over the private IP address range. This can help with accessing external resources needed during the Packer image build process without exposing the VMs to the public internet."
You need ads data to serve AI models and historical data for analytics. Longtail and outlier data points need to be identified. You want to cleanse the data in near-real time before running it through AI models. What should you do?,"Use Cloud Storage as a data warehouse, shell scripts for processing, and BigQuery to create views for desired datasets.","Use Dataflow to identify longtail and outlier data points programmatically, with BigQuery as a sink.","Use BigQuery to ingest, prepare, and then analyze the data, and then run queries to create views.","Use Cloud Composer to identify longtail and outlier data points, and then output a usable dataset to BigQuery.",,,B,206,"Dataflow for Real-Time Processing: Dataflow allows you to process data in near-real time, making it well-suited for identifying longtail and outlier data points as they occur. You can use Dataflow to implement custom data cleansing and outlier detection algorithms that operate on streaming data. BigQuery as a Sink: Using BigQuery as a sink allows you to store the cleaned and processed data efficiently for further analysis or use in AI models. Dataflow can write the cleaned data to BigQuery tables, enabling seamless integration with downstream processes."
"You have a data processing application that runs on Google Kubernetes Engine (GKE). Containers need to be launched with their latest available configurations from a container registry. Your GKE nodes need to have GPUs, local SSDs, and 8 Gbps bandwidth. You want to efficiently provision the data processing infrastructure and manage the deployment process. What should you do?","Use Compute Engine startup scripts to pull container images, and use gcloud commands to provision the infrastructure.",Use Cloud Build to schedule a job using Terraform build to provision the infrastructure and launch with the most current container images.,"Use GKE to autoscale containers, and use gcloud commands to provision the infrastructure.","Use Dataflow to provision the data pipeline, and use Cloud Scheduler to run the job.",,,B,205,- Dataflow is a fully managed service for stream and batch data processing and is well-suited for real-time data processing tasks like identifying longtail and outlier data points. - Using BigQuery as a sink allows to efficiently store the cleansed and processed data for further analysis and serving it to AI models.
You want to create a machine learning model using BigQuery ML and create an endpoint for hosting the model using Vertex AI. This will enable the processing of continuous streaming data in near-real time from multiple vendors. The data may contain invalid values. What should you do?,"Create a new BigQuery dataset and use streaming inserts to land the data from multiple vendors. Configure your BigQuery ML model to use the ""ingestion"" dataset as the framing data.",Use BigQuery streaming inserts to land the data from multiple vendors where your BigQuery dataset ML model is deployed.,Create a Pub/Sub topic and send all vendor data to it. Connect a Cloud Function to the topic to process the data and store it in BigQuery.,Create a Pub/Sub topic and send all vendor data to it. Use Dataflow to process and sanitize the Pub/Sub data and stream it to BigQuery.,,,D,204,Option D -Dataflow provides a scalable and flexible way to process and clean the incoming data in real-time before loading it into BigQuery.
Your company completed the acquisition of a startup and is now merging the IT systems of both companies. The startup had a production Google Cloud project in their organization. You need to move this project into your organization and ensure that the project is billed to your organization. You want to accomplish this task with minimal effort. What should you do?,Use the projects.move method to move the project to your organization. Update the billing account of the project to that of your organization.,"Ensure that you have an Organization Administrator Identity and Access Management (IAM) role assigned to you in both organizations. Navigate to the Resource Manager in the startup’s Google Cloud organization, and drag the project to your company's organization.","Create a Private Catalog for the Google Cloud Marketplace, and upload the resources of the startup's production project to the Catalog. Share the Catalog with your organization, and deploy the resources in your company’s project.","Create an infrastructure-as-code template for all resources in the project by using Terraform, and deploy that template to a new project in your organization. Delete the project from the startup’s Google Cloud organization.",,,A,203,"Option A is correct as it suggests using the ""projects.move"" method provided by Google Cloud to move the project from the startup's organization to your organization. This method allows you to transfer the ownership and control of a project to another organization. By moving the project, you can ensure that it is under your organization's management. While the other options contain elements that may be relevant in certain scenarios, they do not directly address the requirement of moving the project and ensuring billing to your organization."
"Your platform on your on-premises environment generates 100 GB of data daily, composed of millions of structured JSON text files. Your on-premises environment cannot be accessed from the public internet. You want to use Google Cloud products to query and explore the platform data. What should you do?",Use Cloud Scheduler to copy data daily from your on-premises environment to Cloud Storage. Use the BigQuery Data Transfer Service to import data into BigQuery.,Use a Transfer Appliance to copy data from your on-premises environment to Cloud Storage. Use the BigQuery Data Transfer Service to import data into BigQuery.,Use Transfer Service for on-premises data to copy data from your on-premises environment to Cloud Storage. Use the BigQuery Data Transfer Service to import data into BigQuery.,Use the BigQuery Data Transfer Service dataset copy to transfer all data into BigQuery.,,,C,202,"Therefore, the correct option is C. Use Transfer Service for on-premises data to copy data from your on-premises environment to Cloud Storage. Use the BigQuery Data Transfer Service to import data into BigQuery. Option A is incorrect because Cloud Scheduler is not designed for data transfer, but rather for scheduling the execution of Cloud Functions, Cloud Run, or App Engine applications. Option B is incorrect because Transfer Appliance is designed for large-scale data transfers from on-premises environments to Google Cloud and is not suitable for transferring data on a daily basis. Option D is also incorrect because the BigQuery Data Transfer Service dataset copy feature is designed for copying datasets between BigQuery projects and not suitable for copying data from on-premises environments to BigQuery."
"You need to migrate a Redis database from an on-premises data center to a Memorystore for Redis instance. You want to follow Google-recommended practices and perform the migration for minimal cost, time and effort. What should you do?","Make an RDB backup of the Redis database, use the gsutil utility to copy the RDB file into a Cloud Storage bucket, and then import the RDB file into the Memorystore for Redis instance.",Make a secondary instance of the Redis database on a Compute Engine instance and then perform a live cutover.,Create a Dataflow job to read the Redis database from the on-premises data center and write the data to a Memorystore for Redis instance.,Write a shell script to migrate the Redis data and create a new Memorystore for Redis instance.,,,A,201,"Make an RDB backup of the Redis database, use the gsutil utility to copy the RDB file into a Cloud Storage bucket, and then import the RDB file into the Memorystore for Redis instance. The import and export feature uses the native RDB snapshot feature of Redis to import data into or export data out of a Memorystore for Redis instance. The use of the native RDB format prevents lock-in and makes it very easy to move data within Google Cloud or outside of Google Cloud. Import and export uses Cloud Storage buckets to store RDB files. Reference: https://cloud.google.com/memorystore/docs/redis/import-export-overview"
"Government regulations in the banking industry mandate the protection of clients' personally identifiable information (PII). Your company requires PII to be access controlled, encrypted, and compliant with major data protection standards. In addition to using Cloud Data Loss Prevention (Cloud DLP), you want to follow
Google-recommended practices and use service accounts to control access to PII. What should you do?","Assign the required Identity and Access Management (IAM) roles to every employee, and create a single service account to access project resources.","Use one service account to access a Cloud SQL database, and use separate service accounts for each human user.",Use Cloud Storage to comply with major data protection standards. Use one service account shared by all users.,Use Cloud Storage to comply with major data protection standards. Use multiple service accounts attached to IAM groups to grant the appropriate access to each group.,,,D,200,"for A: please refer to this link below which suggests ""Sharing a single service account across multiple applications can complicate the management of the service account"" - meaning it's not a best practice. https://cloud.google.com/iam/docs/best-practices-service-accounts#single-purpose Also, what if we have hundreds of users, does it really make sense to manage each user's IAM individually? for D: it's indeed not one of the best practices but I believe it's much more managable and better than A"
You are using BigQuery and Data Studio to design a customer-facing dashboard that displays large quantities of aggregated data. You expect a high volume of concurrent users. You need to optimize the dashboard to provide quick visualizations with minimal latency. What should you do?,Use BigQuery BI Engine with materialized views.,Use BigQuery BI Engine with logical views.,Use BigQuery BI Engine with streaming data.,Use BigQuery BI Engine with authorized views.,,,A,199,"https://cloud.google.com/bigquery/docs/materialized-views-intro In BigQuery, materialized views are precomputed views that periodically cache the results of a query for increased performance and efficiency. BigQuery leverages precomputed results from materialized views and whenever possible reads only delta changes from the base tables to compute up-to-date results. Materialized views can be queried directly or can be used by the BigQuery optimizer to process queries to the base tables. Queries that use materialized views are generally faster and consume fewer resources than queries that retrieve the same data only from the base tables. Materialized views can significantly improve the performance of workloads that have the characteristic of common and repeated queries."
You are implementing workflow pipeline scheduling using open source-based tools and Google Kubernetes Engine (GKE). You want to use a Google managed service to simplify and automate the task. You also want to accommodate Shared VPC networking considerations. What should you do?,Use Dataflow for your workflow pipelines. Use Cloud Run triggers for scheduling.,Use Dataflow for your workflow pipelines. Use shell scripts to schedule workflows.,Use Cloud Composer in a Shared VPC configuration. Place the Cloud Composer resources in the host project.,Use Cloud Composer in a Shared VPC configuration. Place the Cloud Composer resources in the service project.,,,D,198,"Shared VPC requires that you designate a host project to which networks and subnetworks belong and a service project, which is attached to the host project. When Cloud Composer participates in a Shared VPC, the Cloud Composer environment is in the service project. Reference: https://cloud.google.com/composer/docs/how-to/managing/configuring-shared-vpc"
"You are designing a system that requires an ACID-compliant database. You must ensure that the system requires minimal human intervention in case of a failure.
What should you do?",Configure a Cloud SQL for MySQL instance with point-in-time recovery enabled.,Configure a Cloud SQL for PostgreSQL instance with high availability enabled.,Configure a Bigtable instance with more than one cluster.,Configure a BigQuery table with a multi-region configuration.,,,B,197,"We exclude [C[ as non ACID and [D] for being invalid (location is configured on Dataset level, not Table). Then, let's focus on ""minimal human intervention in case of a failure"" requirement in order to eliminate one answer among [A] and [B]. Basically, we have to compare point-in-time recovery with high availability. It doesn't matter whether it's about MySQL or PostgreSQL since both databases support those features. - Point-in-time recovery logs are created automatically, but restoring an instance in case of failure requires manual steps (described here: https://cloud.google.com/sql/docs/mysql/backup-recovery/pitr#perform-pitr) - High availability, in case of failure requires no human intervention: ""If an HA-configured instance becomes unresponsive, Cloud SQL automatically switches to serving data from the standby instance."" (from https://cloud.google.com/sql/docs/postgres/high-availability#failover-overview)"
You have 15 TB of data in your on-premises data center that you want to transfer to Google Cloud. Your data changes weekly and is stored in a POSIX-compliant source. The network operations team has granted you 500 Mbps bandwidth to the public internet. You want to follow Google-recommended practices to reliably transfer your data to Google Cloud on a weekly basis. What should you do?,Use Cloud Scheduler to trigger the gsutil command. Use the -m parameter for optimal parallelism.,"Use Transfer Appliance to migrate your data into a Google Kubernetes Engine cluster, and then configure a weekly transfer job.","Install Storage Transfer Service for on-premises data in your data center, and then configure a weekly transfer job.","Install Storage Transfer Service for on-premises data on a Google Cloud virtual machine, and then configure a weekly transfer job.",,,C,196,"https://cloud.google.com/architecture/migration-to-google-cloud-transferring-your-large-datasets#storage-transfer-service-for-large-transfers-of-on-premises-data Like gsutil, Storage Transfer Service for on-premises data enables transfers from network file system (NFS) storage to Cloud Storage. Although gsutil can support small transfer sizes (up to 1 TB), Storage Transfer Service for on-premises data is designed for large-scale transfers (up to petabytes of data, billions of files)."
"Your company wants to be able to retrieve large result sets of medical information from your current system, which has over 10 TBs in the database, and store the data in new tables for further query. The database must have a low-maintenance architecture and be accessible via SQL. You need to implement a cost-effective solution that can support data analytics for large result sets. What should you do?","Use Cloud SQL, but first organize the data into tables. Use JOIN in queries to retrieve data.",Use BigQuery as a data warehouse. Set output destinations for caching large queries.,Use a MySQL cluster installed on a Compute Engine managed instance group for scalability.,Use Cloud Spanner to replicate the data across regions. Normalize the data in a series of tables.,,,B,195,Use BigQuery as a data warehouse. Set output destinations for caching large queries.
An online brokerage company requires a high volume trade processing architecture. You need to create a secure queuing system that triggers jobs. The jobs will run in Google Cloud and call the company's Python API to execute trades. You need to efficiently implement a solution. What should you do?,Use a Pub/Sub push subscription to trigger a Cloud Function to pass the data to the Python API.,Write an application hosted on a Compute Engine instance that makes a push subscription to the Pub/Sub topic.,Write an application that makes a queue in a NoSQL database.,Use Cloud Composer to subscribe to a Pub/Sub topic and call the Python API.,,,A,194,An online brokerage company requires a high volume trade processing architecture. You need to create a secure queuing system that triggers jobs. The jobs will run in Google Cloud and call the company's Python API to execute trades. You need to efficiently implement a solution. What should you do?
"An aerospace company uses a proprietary data format to store its flight data. You need to connect this new data source to BigQuery and stream the data into
BigQuery. You want to efficiently import the data into BigQuery while consuming as few resources as possible. What should you do?",Write a shell script that triggers a Cloud Function that performs periodic ETL batch jobs on the new data source.,"Use a standard Dataflow pipeline to store the raw data in BigQuery, and then transform the format later when the data is used.",Use Apache Hive to write a Dataproc job that streams the data into BigQuery in CSV format.,Use an Apache Beam custom connector to write a Dataflow pipeline that streams the data into BigQuery in Avro format.,,,,193,"The key reasons: • Dataflow provides managed resource scaling for efficient stream processing • Avro format has schema evolution capabilities and efficient serialization for flight telemetry data • Apache Beam connectors avoid having to write much code to integrate proprietary data sources • Streaming inserts data efficiently compared to periodic batch jobs In contrast, option A uses Cloud Functions which lack native streaming capabilities. Option B stores data in less efficient JSON format. Option C uses Dataproc which requires manual cluster management. So leveraging Dataflow + Avro + Beam provides the most efficient way to stream proprietary flight data into BigQuery while using minimal resources."
"You are implementing a chatbot to help an online retailer streamline their customer service. The chatbot must be able to respond to both text and voice inquiries.
You are looking for a low-code or no-cade option, and you want to be able to easily train the chatbot to provide answers to keywords. What should you do?",Use the Cloud Speech-to-Text API to build a Python application in App Engine.,Use the Cloud Speech-to-Text API to build a Python application in a Compute Engine instance.,Use Dialogflow for simple queries and the Cloud Speech-to-Text API for complex queries.,"Use Dialogflow to implement the chatbot, defining the intents based on the most common queries collected.",,,D,192,"https://cloud.google.com/dialogflow/docs Dialogflow is a natural language understanding platform that makes it easy to design and integrate a conversational user interface into your mobile app, web application, device, bot, interactive voice response system, and so on. Using Dialogflow, you can provide new and engaging ways for users to interact with your product. Dialogflow can analyze multiple types of input from your customers, including text or audio inputs (like from a phone or voice recording). It can also respond to your customers in a couple of ways, either through text or with synthetic speech."
"You are developing a new deep learning model that predicts a customer's likelihood to buy on your ecommerce site. After running an evaluation of the model against both the original training data and new test data, you find that your model is overfitting the data. You want to improve the accuracy of the model when predicting new data. What should you do?","Increase the size of the training dataset, and increase the number of input features.","Increase the size of the training dataset, and decrease the number of input features.","Reduce the size of the training dataset, and increase the number of input features.","Reduce the size of the training dataset, and decrease the number of input features.",,,B,191,There 2 parts and they are relevant to each other 1. Overfit is fixed by decreasing the number of input features (select only essential features) 2. Accuracy is improved by increasing the amount of training data examples.
"You are loading CSV files from Cloud Storage to BigQuery. The files have known data quality issues, including mismatched data types, such as STRINGs and
INT64s in the same column, and inconsistent formatting of values such as phone numbers or addresses. You need to create the data pipeline to maintain data quality and perform the required cleansing and transformation. What should you do?",Use Data Fusion to transform the data before loading it into BigQuery.,"Use Data Fusion to convert the CSV files to a self-describing data format, such as AVRO, before loading the data to BigQuery.","Load the CSV files into a staging table with the desired schema, perform the transformations with SQL, and then write the results to the final destination table.","Create a table with the desired schema, load the CSV files into the table, and perform the transformations in place using SQL.",,,A,190,"Data Fusion's advantages: Visual interface: Offers a user-friendly interface for designing data pipelines without extensive coding, making it accessible to a wider range of users. Built-in transformations: Includes a wide range of pre-built transformations to handle common data quality issues, such as: Data type conversions Data cleansing (e.g., removing invalid characters, correcting formatting) Data validation (e.g., checking for missing values, enforcing constraints) Data enrichment (e.g., adding derived fields, joining with other datasets) Custom transformations: Allows for custom transformations using SQL or Java code for more complex cleaning tasks. Scalability: Can handle large datasets efficiently, making it suitable for processing CSV files with potential data quality issues. Integration with BigQuery: Integrates seamlessly with BigQuery, allowing for direct loading of transformed data."
You need to migrate 1 PB of data from an on-premises data center to Google Cloud. Data transfer time during the migration should take only a few hours. You want to follow Google-recommended practices to facilitate the large data transfer over a secure connection. What should you do?,"Establish a Cloud Interconnect connection between the on-premises data center and Google Cloud, and then use the Storage Transfer Service.","Use a Transfer Appliance and have engineers manually encrypt, decrypt, and verify the data.","Establish a Cloud VPN connection, start gcloud compute scp jobs in parallel, and run checksums to verify the data.","Reduce the data into 3 TB batches, transfer the data using gsutil, and run checksums to verify the data.",,,A,189,"Cloud Interconnect provides a dedicated private connection between on-prem and Google Cloud for high bandwidth (up to 100 Gbps) and low latency. This facilitates large, fast data transfers. Storage Transfer Service supports parallel data transfers over Cloud Interconnect. It can transfer petabyte-scale datasets faster by transferring objects in parallel. Storage Transfer Service uses HTTPS encryption in transit and at rest by default for secure data transfers. It follows Google-recommended practices for large data migrations vs ad hoc methods like gsutil or scp. The other options would take too long for a 1 PB transfer (VPN capped at 3 Gbps, manual transfers) or introduce extra steps like batching and checksums. Cloud Interconnect + Storage Transfer is the recommended Google solution."
"Your startup has a web application that currently serves customers out of a single region in Asia. You are targeting funding that will allow your startup to serve customers globally. Your current goal is to optimize for cost, and your post-funding goal is to optimize for global presence and performance. You must use a native
JDBC driver. What should you do?","Use Cloud Spanner to configure a single region instance initially, and then configure multi-region Cloud Spanner instances after securing funding.","Use a Cloud SQL for PostgreSQL highly available instance first, and Bigtable with US, Europe, and Asia replication after securing funding.","Use a Cloud SQL for PostgreSQL zonal instance first, and Bigtable with US, Europe, and Asia after securing funding.","Use a Cloud SQL for PostgreSQL zonal instance first, and Cloud SQL for PostgreSQL with highly available configuration after securing funding.",,,A,188,"A. Use Cloud Spanner to configure a single region instance initially, and then configure multi-region Cloud Spanner instances after securing funding. When you create a Cloud Spanner instance, you must configure it as either regional (that is, all the resources are contained within a single Google Cloud region) or multi-region (that is, the resources span more than one region). You can change the instance configuration to multi-regional (or global) at anytime."
You need to manage a Cloud Spanner instance for best query performance. Your instance in production runs in a single Google Cloud region. You need to improve performance in the shortest amount of time. You want to follow Google best practices for service configuration. What should you do?,"Create an alert in Cloud Monitoring to alert when the percentage of high priority CPU utilization reaches 45%. If you exceed this threshold, add nodes to your instance.","Create an alert in Cloud Monitoring to alert when the percentage of high priority CPU utilization reaches 45%. Use database query statistics to identify queries that result in high CPU usage, and then rewrite those queries to optimize their resource usage.","Create an alert in Cloud Monitoring to alert when the percentage of high priority CPU utilization reaches 65%. If you exceed this threshold, add nodes to your instance.","Create an alert in Cloud Monitoring to alert when the percentage of high priority CPU utilization reaches 65%. Use database query statistics to identify queries that result in high CPU usage, and then rewrite those queries to optimize their resource usage.",,,C,187,"looks correct, increase instances on single region if CPU above 65% https://cloud.google.com/spanner/docs/cpu-utilization#recommended-max"
Your new customer has requested daily reports that show their net consumption of Google Cloud compute resources and who used the resources. You need to quickly and efficiently generate these daily reports. What should you do?,"Do daily exports of Cloud Logging data to BigQuery. Create views filtering by project, log type, resource, and user.","Filter data in Cloud Logging by project, resource, and user; then export the data in CSV format.","Filter data in Cloud Logging by project, log type, resource, and user, then import the data into BigQuery.","Export Cloud Logging data to Cloud Storage in CSV format. Cleanse the data using Dataprep, filtering by project, resource, and user.",,,A,186,"Do daily exports of Cloud Logging data to BigQuery. Create views filtering by project, log type, resource, and user. You cannot import custom or filtered billing criteria into BigQuery. There are three types of Cloud Billing data tables with a fixed schema that must further drilled-down via BigQuery views. Reference: https://cloud.google.com/billing/docs/how-to/export-data-bigquery#setup"
"You issue a new batch job to Dataflow. The job starts successfully, processes a few elements, and then suddenly fails and shuts down. You navigate to the
Dataflow monitoring interface where you find errors related to a particular DoFn in your pipeline. What is the most likely cause of the errors?",Job validation,Exceptions in worker code,Graph or pipeline construction,Insufficient permissions,,,B,185,"While your job is running, you might encounter errors or exceptions in your worker code. These errors generally mean that the DoFns in your pipeline code have generated unhandled exceptions, which result in failed tasks in your Dataflow job. Exceptions in user code (for example, your DoFn instances) are reported in the Dataflow monitoring interface. Reference (Lists all answer choices and when to pick each one): https://cloud.google.com/dataflow/docs/guides/troubleshooting-your-pipeline#Causes"
"You are building a report-only data warehouse where the data is streamed into BigQuery via the streaming API. Following Google's best practices, you have both a staging and a production table for the data. How should you design your data loading to ensure that there is only one master dataset without affecting performance on either the ingestion or reporting pieces?","Have a staging table that is an append-only model, and then update the production table every three hours with the changes written to staging.","Have a staging table that is an append-only model, and then update the production table every ninety minutes with the changes written to staging.",Have a staging table that moves the staged data over to the production table and deletes the contents of the staging table every three hours.,Have a staging table that moves the staged data over to the production table and deletes the contents of the staging table every thirty minutes.,,,C,184,"I found the correct answer based on a real case, where Google's Solutions Architect team decided to move an internal process to use BigQuery. The related doc is here: https://cloud.google.com/blog/products/data-analytics/moving-a-publishing-workflow-to-bigquery-for-new-data-insights"
"You are using Bigtable to persist and serve stock market data for each of the major indices. To serve the trading application, you need to access only the most recent stock prices that are streaming in. How should you design your row key and tables to ensure that you can access the data with the simplest query?","Create one unique table for all of the indices, and then use the index and timestamp as the row key design.","Create one unique table for all of the indices, and then use a reverse timestamp as the row key design.","For each index, have a separate table and use a timestamp as the row key design.","For each index, have a separate table and use a reverse timestamp as the row key design.",,,B,183,"https://cloud.google.com/bigtable/docs/schema-design#time-based If you usually retrieve the most recent records first, you can use a reversed timestamp in the row key by subtracting the timestamp from your programming language's maximum value for long integers (in Java, java.lang.Long.MAX_VALUE). With a reversed timestamp, the records will be ordered from most recent to least recent."
"You are migrating your data warehouse to Google Cloud and decommissioning your on-premises data center. Because this is a priority for your company, you know that bandwidth will be made available for the initial data load to the cloud. The files being transferred are not large in number, but each file is 90 GB.
Additionally, you want your transactional systems to continually update the warehouse on Google Cloud in real time. What tools should you use to migrate the data and ensure that it continues to write to your warehouse?",Storage Transfer Service for the migration; Pub/Sub and Cloud Data Fusion for the real-time updates,BigQuery Data Transfer Service for the migration; Pub/Sub and Dataproc for the real-time updates,gsutil for the migration; Pub/Sub and Dataflow for the real-time updates,gsutil for both the migration and the real-time updates,,,C,182,"https://cloud.google.com/architecture/migration-to-google-cloud-transferring-your-large-datasets#gsutil_for_smaller_transfers_of_on-premises_data The gsutil tool is the standard tool for small- to medium-sized transfers (less than 1 TB) over a typical enterprise-scale network, from a private data center to Google Cloud."
You need to give new website users a globally unique identifier (GUID) using a service that takes in data points and returns a GUID. This data is sourced from both internal and external systems via HTTP calls that you will make via microservices within your pipeline. There will be tens of thousands of messages per second and that can be multi-threaded. and you worry about the backpressure on the system. How should you design your pipeline to minimize that backpressure?,Call out to the service via HTTP.,Create the pipeline statically in the class definition.,Create a new object in the startBundle method of DoFn.,Batch the job into ten-second increments.,,,D,181,"D: I have insisted on this choice all aling. please read find the keyword massive backpressure https://cloud.google.com/blog/products/data-analytics/guide-to-common-cloud-dataflow-use-case-patterns-part-1 if the call takes on average 1 sec, that would cause massive backpressure on the pipeline. In these circumstances you should consider batching these requests, instead."
